user_id,dog_id,rating
1,1,5
1,12,5
1,24,5
1,5,4
1,6,5
1,11,4
1,36,5
2,1,5
2,24,5
2,5,5
2,11,5
2,36,5
2,34,2
2,35,2
2,37,2
3,12,5
3,24,5
3,5,5
3,6,5
3,35,1
3,36,1
4,1,5
4,24,5
4,5,5
4,11,4
4,36,5
4,34,2
4,35,2
5,1,5
5,12,5
5,24,5
5,5,4
5,6,5
5,11,4
6,36,5
6,1,5
6,24,5
6,5,5
7,11,5
7,12,5
7,24,5
7,5,5
7,6,4
7,11,5
7,36,5
7,34,2
7,35,1
8,3,4
8,4,4
8,14,4
8,15,5
8,22,4
8,30,5
9,3,4
9,4,4
9,14,4
9,15,5
9,22,5
9,30,4
9,12,5
9,24,5
9,5,5
9,6,5
9,11,5
10,1,5
10,12,5
10,24,5
10,5,5
10,6,5
11,1,5
11,24,5
11,5,5
11,11,5
11,36,5
11,34,2
12,12,5
12,24,5
12,5,5
12,6,5
12,35,1
12,36,1
13,1,5
13,24,5
13,5,5
13,11,4
13,36,5
14,1,5
14,12,5
14,24,5
14,6,5
14,11,5
14,36,5
14,14,4
15,12,5
15,24,5
15,15,5
15,14,5
15,36,5
16,12,5
16,11,5
16,5,4
16,6,5
16,35,1
16,36,1
17,12,5
17,24,5
17,5,4
17,6,4
17,11,5
17,36,5
17,1,5
18,1,5
18,36,5
18,5,5
18,6,5
18,22,5
19,11,5
19,12,5
19,24,5
19,5,5
19,6,4
19,11,5
19,36,5
20,34,2
20,35,1
20,3,4
20,4,4
20,14,4
20,15,5
20,22,4
20,30,5
21,1,5
21,12,5
21,24,5
21,5,4
21,6,5
21,11,4
21,36,5
22,1,5
22,24,5
22,5,5
22,11,5
22,36,5
22,34,2
22,35,2
22,37,2
23,12,1
23,24,5
23,5,5
23,6,5
23,35,1
23,36,1
24,1,5
24,24,5
24,5,5
24,11,4
24,36,5
24,34,4
24,35,4
25,1,5
25,12,5
25,24,5
25,5,4
25,6,5
25,11,4
26,36,5
26,1,5
26,24,5
26,5,5
27,11,5
27,12,3
27,24,5
27,5,5
27,6,4
27,11,5
27,36,5
27,34,2
27,35,1
28,3,4
28,4,4
28,14,4
28,15,5
28,22,4
28,30,5
29,3,4
29,4,4
29,14,4
29,15,5
29,22,5
29,30,4
29,12,1
29,24,5
29,5,5
29,6,5
29,11,5
30,1,5
30,12,1
30,24,5
30,5,5
30,6,5
31,1,5
31,24,5
31,5,5
31,11,5
31,36,5
31,34,3
32,12,3
32,24,5
32,5,5
32,6,5
32,35,3
32,36,3
33,1,5
33,24,5
33,5,5
33,11,4
33,36,5
34,1,5
34,12,3
34,24,5
34,6,5
34,11,5
34,36,5
34,14,4
35,12,2
35,24,5
35,15,5
35,14,5
35,36,5
36,12,2
36,11,5
36,5,4
36,6,5
36,35,4
36,36,3
37,12,2
37,24,5
37,5,4
37,6,4
37,11,5
37,36,5
37,1,5
38,1,5
38,36,5
38,5,5
38,6,4
38,22,5
38,11,5
38,12,4
39,24,5
39,5,5
39,6,4
39,11,5
39,36,4
40,34,2
40,35,1
40,3,4
40,4,5
40,14,5
40,15,5
40,22,4
40,30,5
41,5,5
41,6,5
41,11,5
41,36,5
41,3,5
41,4,5
41,13,5
41,14,5
41,15,5
41,22,5
42,5,5
42,6,5
42,11,5
42,36,5
42,3,5
42,4,5
42,13,5
42,14,5
43,15,5
43,22,5
43,1,2
43,2,2
43,7,2
43,10,2
43,12,2
43,18,2
44,5,5
44,6,5
44,11,5
44,36,5
44,3,5
44,4,5
45,13,5
45,14,5
45,15,5
45,22,5
45,1,2
46,5,5
46,6,5
46,11,5
46,36,4
47,3,5
47,4,4
47,13,5
47,14,4
47,15,5
47,22,5
48,5,5
48,6,5
48,11,5
48,36,4
48,3,5
48,4,5
49,13,4
49,14,5
49,15,4
49,22,5
49,1,3
49,2,2
50,5,5
50,6,4
50,11,5
50,36,5
50,3,4
51,4,5
51,13,4
51,14,5
51,15,5
51,22,5
52,5,3
52,6,4
52,11,4
52,36,5
52,3,5
52,4,5
53,13,5
53,14,5
53,15,5
53,22,5
54,5,5
54,6,5
54,11,5
54,36,5
54,3,5
54,4,4
55,13,4
55,14,5
55,15,5
55,22,5
55,1,1
55,2,2
56,5,4
56,6,5
56,11,4
56,36,5
56,3,5
56,4,4
56,13,5
57,14,5
57,15,4
57,22,5
57,1,1
57,7,3
57,10,2
57,12,2
58,5,5
58,6,5
58,11,5
58,36,5
58,3,5
58,4,5
59,13,5
59,14,5
59,15,5
59,22,5
59,1,3
59,2,3
60,5,5
60,6,5
60,11,5
60,36,5
60,3,4
60,4,5
60,13,5
60,14,4
60,15,5
60,22,5
61,5,5
61,6,5
61,11,5
61,36,5
61,18,5
61,3,5
61,4,5
61,13,5
62,20,5
62,1,1
62,2,2
62,7,2
62,10,2
62,12,2
62,5,5
63,6,5
63,11,5
63,36,5
63,18,5
63,3,5
63,4,5
63,13,5
63,20,5
64,1,1
64,2,2
64,7,2
64,10,2
64,12,2
64,5,5
64,6,5
65,11,5
65,36,5
65,18,5
65,3,5
65,4,5
65,13,5
65,20,5
65,1,1
66,2,2
66,7,2
66,10,2
66,12,2
66,5,5
66,6,5
66,11,5
67,36,5
67,18,5
67,3,5
67,4,5
67,13,5
67,20,4
67,1,1
68,2,2
68,7,2
68,10,2
68,12,2
68,5,5
68,6,5
68,11,5
68,36,5
69,18,4
69,3,5
69,4,5
69,13,5
69,20,5
69,1,1
69,2,2
69,7,2
